,category,text
0,spam,"FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone
"
1,not_spam,"Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng
"
2,spam,"PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0
"
3,spam,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.
"
4,not_spam,"Also track down any lighters you can find
"
5,spam,"WIN URGENT! Your mobile number has been awarded with a £2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm 
"
6,spam,"FREEMSG: Our records indicate you may be entitled to 3750 pounds for the Accident you had. To claim for free reply with YES to this msg. To opt out text STOP
"
7,not_spam,"HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN
"
8,not_spam,"Well i know Z will take care of me. So no worries.
"
9,spam,"22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222
"
10,not_spam,"10 min later k...
"
11,not_spam,"Ü got wat to buy tell us then ü no need to come in again.
"
12,spam,"Urgent Ur £500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 £1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF
"
13,spam,"Twinks, bears, scallies, skins and jocks are calling now. Don't miss the weekend's fun. Call 08712466669 at 10p/min. 2 stop texts call 08712460324(nat rate)
"
14,not_spam,"Just haven't decided where yet eh ?
"
15,spam,"U are subscribed to the best Mobile Content Service in the UK for £3 per ten days until you send STOP to 83435. Helpline 08706091795.
"
16,spam,"Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net £1.50pm approx 3mins
"
17,not_spam,"Actually I decided I was too hungry so I haven't left yet :V
"
18,not_spam,"Ok no problem... Yup i'm going to sch at 4 if i rem correctly...
"
19,not_spam,"Just send a text. We'll skype later.
"
20,spam,"URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM
"
21,spam,"Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS)
"
22,not_spam,"Well. Im computerless. Time to make some oreo truffles
"
23,not_spam,"I AM AT A PARTY WITH ALEX NICHOLS
"
24,not_spam,"Hmm ok, i'll stay for like an hour cos my eye is really sore!
"
25,spam,"Bought one ringtone and now getting texts costing 3 pound offering more tones etc
"
26,not_spam,"U sure u can't take any sick time?
"
27,spam,"You have 1 new message. Call 0207-083-6089
"
28,not_spam,"Science tells that chocolate will melt under the sunlight. Please don't walk under the sunlight. BCoz,I don't want to loss a sweet friend.
"
29,not_spam,"HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
"
30,spam,"Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!
"
31,not_spam,"K sure am in my relatives home. Sms me de. Pls:-)
"
32,not_spam,"I couldn't say no as he is a dying man and I feel sad for him so I will go and I just wanted you to know I would probably be gone late into your night
"
33,not_spam,"Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
"
34,spam,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE
"
35,spam,"Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL
"
36,spam,"A link to your picture has been sent. You can also use http://alto18.co.uk/wave/wave.asp?o=44345
"
37,spam,"Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705
"
38,not_spam,"We have to pick rayan macleran there.
"
39,spam,"Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery
"
40,not_spam,"Eh den sat u book e kb liao huh...
"
41,spam,"For ur chance to win £250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk.
"
42,spam,"Please call Amanda with regard to renewing or upgrading your current T-Mobile handset free of charge. Offer ends today. Tel 0845 021 3680 subject to T's and C's
"
43,not_spam,"So now my dad is gonna call after he gets out of work and ask all these crazy questions.
"
44,spam,"Your next amazing xxx PICSFREE1 video will be sent to you enjoy! If one vid is not enough for 2day text back the keyword PICSFREE1 to get the next video.
"
45,not_spam,"Yup bathe liao...
"
46,spam,"YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.
"
47,spam,"YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386
"
48,not_spam,"Call him and say you not coming today ok and tell them not to fool me like this ok
"
